Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,497.741429257502
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5396.2142432843
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4021.9832660524
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,13672.576657298
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41328.6123929102
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2191.34776373555
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,18730.0047966374
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,9963.67416171662
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4828.50488626598
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,31902.8098183195
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,55049.571919719
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,50067.5857265892
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4805.75371765917
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,32279.0113630465
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,25869.1129129041
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,2122.07839667492
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,19063.1022913841
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6837.76832136779
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46641.7214017087
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,6134.21523305713
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1170.8859954114
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,116153.166121638
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,3564.59877168289
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3472.38083136442
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6094.72482322311
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6691.16105313603
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8845.32414932264
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,30748.3092371228
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,9874.33632625168
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,765.229560401644
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,216.972970900616
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3903.05031683625
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1671.3854000919
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1538.68791249516
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,46374.1527517191
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,89846.321220347
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,426.408753120209
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,701.621201027424
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,61281.3272247009
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,14632.6903076927
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10143.8602205959
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6436.50921529527
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1510.79732262852
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,575.882781366465
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2508.9447830009
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12669.3411549351
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2290.78737894927
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,15120.9029026824
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,9139.38051005519
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,19220.6865793075
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,29420
